prov_id,grupo_edad,sexo,anio,value
2,20-24,Varón,2005,106477
2,20-24,Mujer,2005,112614
2,25-29,Varón,2005,121844
2,25-29,Mujer,2005,131087
2,30-34,Varón,2005,113159
2,30-34,Mujer,2005,120458
2,35-39,Varón,2005,100148
2,35-39,Mujer,2005,103785
2,40-44,Varón,2005,91001
2,40-44,Mujer,2005,98155
2,45-49,Varón,2005,85242
2,45-49,Mujer,2005,96698
2,50-54,Varón,2005,80672
2,50-54,Mujer,2005,95391
2,55-59,Varón,2005,73295
2,55-59,Mujer,2005,92452
2,60-64,Varón,2005,64545
2,60-64,Mujer,2005,88007
2,65-69,Varón,2005,54247
2,65-69,Mujer,2005,81055
2,70-74,Varón,2005,47968
2,70-74,Mujer,2005,76259
2,75-79,Varón,2005,38193
2,75-79,Mujer,2005,71564
2,80 y más,Varón,2005,39349
2,80 y más,Mujer,2005,100219
6,20-24,Varón,2005,601552
6,20-24,Mujer,2005,587106
6,25-29,Varón,2005,639755
6,25-29,Mujer,2005,625623
6,30-34,Varón,2005,545347
6,30-34,Mujer,2005,536850
6,35-39,Varón,2005,471958
6,35-39,Mujer,2005,473785
6,40-44,Varón,2005,429447
6,40-44,Mujer,2005,442770
6,45-49,Varón,2005,396781
6,45-49,Mujer,2005,430543
6,50-54,Varón,2005,368311
6,50-54,Mujer,2005,406716
6,55-59,Varón,2005,326561
6,55-59,Mujer,2005,364320
6,60-64,Varón,2005,275003
6,60-64,Mujer,2005,309712
6,65-69,Varón,2005,218281
6,65-69,Mujer,2005,267592
6,70-74,Varón,2005,176663
6,70-74,Mujer,2005,243633
6,75-79,Varón,2005,129902
6,75-79,Mujer,2005,203887
6,80 y más,Varón,2005,103959
6,80 y más,Mujer,2005,211345
10,20-24,Varón,2005,15970
10,20-24,Mujer,2005,15403
10,25-29,Varón,2005,15420
10,25-29,Mujer,2005,14845
10,30-34,Varón,2005,12931
10,30-34,Mujer,2005,12456
10,35-39,Varón,2005,10984
10,35-39,Mujer,2005,10606
10,40-44,Varón,2005,10030
10,40-44,Mujer,2005,9604
10,45-49,Varón,2005,9280
10,45-49,Mujer,2005,9002
10,50-54,Varón,2005,8353
10,50-54,Mujer,2005,8225
10,55-59,Varón,2005,6771
10,55-59,Mujer,2005,6694
10,60-64,Varón,2005,5010
10,60-64,Mujer,2005,5420
10,65-69,Varón,2005,3964
10,65-69,Mujer,2005,4619
10,70-74,Varón,2005,3159
10,70-74,Mujer,2005,4006
10,75-79,Varón,2005,2237
10,75-79,Mujer,2005,3171
10,80 y más,Varón,2005,1816
10,80 y más,Mujer,2005,3101
14,20-24,Varón,2005,140453
14,20-24,Mujer,2005,137437
14,25-29,Varón,2005,147071
14,25-29,Mujer,2005,145077
14,30-34,Varón,2005,114674
14,30-34,Mujer,2005,112298
14,35-39,Varón,2005,98805
14,35-39,Mujer,2005,98285
14,40-44,Varón,2005,94441
14,40-44,Mujer,2005,96473
14,45-49,Varón,2005,86336
14,45-49,Mujer,2005,92625
14,50-54,Varón,2005,82182
14,50-54,Mujer,2005,88570
14,55-59,Varón,2005,73509
14,55-59,Mujer,2005,81532
14,60-64,Varón,2005,61945
14,60-64,Mujer,2005,70968
14,65-69,Varón,2005,51060
14,65-69,Mujer,2005,62573
14,70-74,Varón,2005,41111
14,70-74,Mujer,2005,55610
14,75-79,Varón,2005,29231
14,75-79,Mujer,2005,45538
14,80 y más,Varón,2005,23479
14,80 y más,Mujer,2005,49847
18,20-24,Varón,2005,44927
18,20-24,Mujer,2005,43183
18,25-29,Varón,2005,39287
18,25-29,Mujer,2005,40202
18,30-34,Varón,2005,30249
18,30-34,Mujer,2005,31070
18,35-39,Varón,2005,27499
18,35-39,Mujer,2005,28084
18,40-44,Varón,2005,27388
18,40-44,Mujer,2005,27916
18,45-49,Varón,2005,24543
18,45-49,Mujer,2005,25475
18,50-54,Varón,2005,22698
18,50-54,Mujer,2005,22256
18,55-59,Varón,2005,18189
18,55-59,Mujer,2005,18138
18,60-64,Varón,2005,13892
18,60-64,Mujer,2005,15062
18,65-69,Varón,2005,10975
18,65-69,Mujer,2005,13321
18,70-74,Varón,2005,8316
18,70-74,Mujer,2005,10755
18,75-79,Varón,2005,5705
18,75-79,Mujer,2005,7879
18,80 y más,Varón,2005,4844
18,80 y más,Mujer,2005,8506
22,20-24,Varón,2005,47497
22,20-24,Mujer,2005,46146
22,25-29,Varón,2005,40749
22,25-29,Mujer,2005,40518
22,30-34,Varón,2005,31485
22,30-34,Mujer,2005,32118
22,35-39,Varón,2005,28608
22,35-39,Mujer,2005,29047
22,40-44,Varón,2005,28635
22,40-44,Mujer,2005,28628
22,45-49,Varón,2005,26117
22,45-49,Mujer,2005,26290
22,50-54,Varón,2005,23219
22,50-54,Mujer,2005,22367
22,55-59,Varón,2005,18045
22,55-59,Mujer,2005,17253
22,60-64,Varón,2005,13622
22,60-64,Mujer,2005,14455
22,65-69,Varón,2005,11035
22,65-69,Mujer,2005,12946
22,70-74,Varón,2005,8262
22,70-74,Mujer,2005,10408
22,75-79,Varón,2005,5415
22,75-79,Mujer,2005,7340
22,80 y más,Varón,2005,3833
22,80 y más,Mujer,2005,5982
26,20-24,Varón,2005,19683
26,20-24,Mujer,2005,18783
26,25-29,Varón,2005,18624
26,25-29,Mujer,2005,17954
26,30-34,Varón,2005,16395
26,30-34,Mujer,2005,16121
26,35-39,Varón,2005,14824
26,35-39,Mujer,2005,14623
26,40-44,Varón,2005,14372
26,40-44,Mujer,2005,14022
26,45-49,Varón,2005,12787
26,45-49,Mujer,2005,12655
26,50-54,Varón,2005,11213
26,50-54,Mujer,2005,11251
26,55-59,Varón,2005,8989
26,55-59,Mujer,2005,8904
26,60-64,Varón,2005,7055
26,60-64,Mujer,2005,7170
26,65-69,Varón,2005,5609
26,65-69,Mujer,2005,5999
26,70-74,Varón,2005,3854
26,70-74,Mujer,2005,4670
26,75-79,Varón,2005,2590
26,75-79,Mujer,2005,3445
26,80 y más,Varón,2005,1902
26,80 y más,Mujer,2005,3315
30,20-24,Varón,2005,51488
30,20-24,Mujer,2005,50012
30,25-29,Varón,2005,47989
30,25-29,Mujer,2005,46790
30,30-34,Varón,2005,40923
30,30-34,Mujer,2005,39963
30,35-39,Varón,2005,37014
30,35-39,Mujer,2005,36530
30,40-44,Varón,2005,36044
30,40-44,Mujer,2005,35832
30,45-49,Varón,2005,32134
30,45-49,Mujer,2005,34073
30,50-54,Varón,2005,30785
30,50-54,Mujer,2005,31525
30,55-59,Varón,2005,26436
30,55-59,Mujer,2005,27593
30,60-64,Varón,2005,22018
30,60-64,Mujer,2005,23859
30,65-69,Varón,2005,17577
30,65-69,Mujer,2005,21363
30,70-74,Varón,2005,13237
30,70-74,Mujer,2005,18708
30,75-79,Varón,2005,9118
30,75-79,Mujer,2005,15118
30,80 y más,Varón,2005,7874
30,80 y más,Mujer,2005,16969
34,20-24,Varón,2005,23192
34,20-24,Mujer,2005,22376
34,25-29,Varón,2005,18988
34,25-29,Mujer,2005,19041
34,30-34,Varón,2005,15281
34,30-34,Mujer,2005,16061
34,35-39,Varón,2005,14597
34,35-39,Mujer,2005,14912
34,40-44,Varón,2005,14738
34,40-44,Mujer,2005,14354
34,45-49,Varón,2005,12870
34,45-49,Mujer,2005,12859
34,50-54,Varón,2005,11411
34,50-54,Mujer,2005,10889
34,55-59,Varón,2005,8861
34,55-59,Mujer,2005,8406
34,60-64,Varón,2005,6824
34,60-64,Mujer,2005,6590
34,65-69,Varón,2005,5646
34,65-69,Mujer,2005,5710
34,70-74,Varón,2005,4017
34,70-74,Mujer,2005,4357
34,75-79,Varón,2005,2761
34,75-79,Mujer,2005,3068
34,80 y más,Varón,2005,2076
34,80 y más,Mujer,2005,2635
38,20-24,Varón,2005,30479
38,20-24,Mujer,2005,30045
38,25-29,Varón,2005,27383
38,25-29,Mujer,2005,27556
38,30-34,Varón,2005,22229
38,30-34,Mujer,2005,22707
38,35-39,Varón,2005,18976
38,35-39,Mujer,2005,19174
38,40-44,Varón,2005,16910
38,40-44,Mujer,2005,18029
38,45-49,Varón,2005,14840
38,45-49,Mujer,2005,16403
38,50-54,Varón,2005,13732
38,50-54,Mujer,2005,14726
38,55-59,Varón,2005,11175
38,55-59,Mujer,2005,11940
38,60-64,Varón,2005,8994
38,60-64,Mujer,2005,9725
38,65-69,Varón,2005,7351
38,65-69,Mujer,2005,8021
38,70-74,Varón,2005,5345
38,70-74,Mujer,2005,6342
38,75-79,Varón,2005,3707
38,75-79,Mujer,2005,4527
38,80 y más,Varón,2005,2679
38,80 y más,Mujer,2005,4110
42,20-24,Varón,2005,13229
42,20-24,Mujer,2005,12695
42,25-29,Varón,2005,12489
42,25-29,Mujer,2005,11627
42,30-34,Varón,2005,11281
42,30-34,Mujer,2005,10905
42,35-39,Varón,2005,10270
42,35-39,Mujer,2005,10128
42,40-44,Varón,2005,10196
42,40-44,Mujer,2005,9942
42,45-49,Varón,2005,9206
42,45-49,Mujer,2005,8966
42,50-54,Varón,2005,8806
42,50-54,Mujer,2005,8510
42,55-59,Varón,2005,7486
42,55-59,Mujer,2005,7505
42,60-64,Varón,2005,6650
42,60-64,Mujer,2005,6615
42,65-69,Varón,2005,5218
42,65-69,Mujer,2005,5677
42,70-74,Varón,2005,4047
42,70-74,Mujer,2005,4774
42,75-79,Varón,2005,2731
42,75-79,Mujer,2005,3880
42,80 y más,Varón,2005,2310
42,80 y más,Mujer,2005,4440
46,20-24,Varón,2005,14468
46,20-24,Mujer,2005,13977
46,25-29,Varón,2005,14945
46,25-29,Mujer,2005,14598
46,30-34,Varón,2005,11717
46,30-34,Mujer,2005,11380
46,35-39,Varón,2005,10100
46,35-39,Mujer,2005,9718
46,40-44,Varón,2005,9376
46,40-44,Mujer,2005,9128
46,45-49,Varón,2005,8208
46,45-49,Mujer,2005,8051
46,50-54,Varón,2005,7374
46,50-54,Mujer,2005,7081
46,55-59,Varón,2005,5853
46,55-59,Mujer,2005,5749
46,60-64,Varón,2005,4441
46,60-64,Mujer,2005,4530
46,65-69,Varón,2005,3409
46,65-69,Mujer,2005,3883
46,70-74,Varón,2005,2562
46,70-74,Mujer,2005,3115
46,75-79,Varón,2005,1905
46,75-79,Mujer,2005,2290
46,80 y más,Varón,2005,1437
46,80 y más,Mujer,2005,2210
50,20-24,Varón,2005,72161
50,20-24,Mujer,2005,70370
50,25-29,Varón,2005,70951
50,25-29,Mujer,2005,69757
50,30-34,Varón,2005,57401
50,30-34,Mujer,2005,58296
50,35-39,Varón,2005,48145
50,35-39,Mujer,2005,50622
50,40-44,Varón,2005,44704
50,40-44,Mujer,2005,47693
50,45-49,Varón,2005,42584
50,45-49,Mujer,2005,47061
50,50-54,Varón,2005,41581
50,50-54,Mujer,2005,45616
50,55-59,Varón,2005,36135
50,55-59,Mujer,2005,40471
50,60-64,Varón,2005,29871
50,60-64,Mujer,2005,33834
50,65-69,Varón,2005,23902
50,65-69,Mujer,2005,28317
50,70-74,Varón,2005,19358
50,70-74,Mujer,2005,24587
50,75-79,Varón,2005,14364
50,75-79,Mujer,2005,20478
50,80 y más,Varón,2005,11904
50,80 y más,Mujer,2005,20531
54,20-24,Varón,2005,46083
54,20-24,Mujer,2005,44974
54,25-29,Varón,2005,37949
54,25-29,Mujer,2005,38365
54,30-34,Varón,2005,31987
54,30-34,Mujer,2005,32221
54,35-39,Varón,2005,29443
54,35-39,Mujer,2005,29565
54,40-44,Varón,2005,29110
54,40-44,Mujer,2005,28478
54,45-49,Varón,2005,25831
54,45-49,Mujer,2005,25266
54,50-54,Varón,2005,21978
54,50-54,Mujer,2005,20629
54,55-59,Varón,2005,16654
54,55-59,Mujer,2005,15786
54,60-64,Varón,2005,13013
54,60-64,Mujer,2005,12952
54,65-69,Varón,2005,10834
54,65-69,Mujer,2005,11243
54,70-74,Varón,2005,8072
54,70-74,Mujer,2005,8788
54,75-79,Varón,2005,5305
54,75-79,Mujer,2005,6189
54,80 y más,Varón,2005,3941
54,80 y más,Mujer,2005,5568
58,20-24,Varón,2005,23109
58,20-24,Mujer,2005,22298
58,25-29,Varón,2005,21879
58,25-29,Mujer,2005,21720
58,30-34,Varón,2005,19799
58,30-34,Mujer,2005,20253
58,35-39,Varón,2005,18055
58,35-39,Mujer,2005,18163
58,40-44,Varón,2005,16523
58,40-44,Mujer,2005,16972
58,45-49,Varón,2005,14531
58,45-49,Mujer,2005,14787
58,50-54,Varón,2005,12538
58,50-54,Mujer,2005,12766
58,55-59,Varón,2005,9792
58,55-59,Mujer,2005,9884
58,60-64,Varón,2005,7306
58,60-64,Mujer,2005,7367
58,65-69,Varón,2005,5390
58,65-69,Mujer,2005,5797
58,70-74,Varón,2005,3750
58,70-74,Mujer,2005,4503
58,75-79,Varón,2005,2438
58,75-79,Mujer,2005,3382
58,80 y más,Varón,2005,1899
58,80 y más,Mujer,2005,3410
62,20-24,Varón,2005,25444
62,20-24,Mujer,2005,24526
62,25-29,Varón,2005,22102
62,25-29,Mujer,2005,21974
62,30-34,Varón,2005,20178
62,30-34,Mujer,2005,20482
62,35-39,Varón,2005,18743
62,35-39,Mujer,2005,19097
62,40-44,Varón,2005,18192
62,40-44,Mujer,2005,18699
62,45-49,Varón,2005,16476
62,45-49,Mujer,2005,17041
62,50-54,Varón,2005,14937
62,50-54,Mujer,2005,15101
62,55-59,Varón,2005,12629
62,55-59,Mujer,2005,12532
62,60-64,Varón,2005,10199
62,60-64,Mujer,2005,10185
62,65-69,Varón,2005,8050
62,65-69,Mujer,2005,8388
62,70-74,Varón,2005,5798
62,70-74,Mujer,2005,6750
62,75-79,Varón,2005,4113
62,75-79,Mujer,2005,5005
62,80 y más,Varón,2005,3296
62,80 y más,Mujer,2005,4772
66,20-24,Varón,2005,52779
66,20-24,Mujer,2005,52234
66,25-29,Varón,2005,46217
66,25-29,Mujer,2005,47645
66,30-34,Varón,2005,38395
66,30-34,Mujer,2005,39686
66,35-39,Varón,2005,33750
66,35-39,Mujer,2005,33958
66,40-44,Varón,2005,30737
66,40-44,Mujer,2005,31131
66,45-49,Varón,2005,26582
66,45-49,Mujer,2005,27605
66,50-54,Varón,2005,24328
66,50-54,Mujer,2005,25022
66,55-59,Varón,2005,19383
66,55-59,Mujer,2005,20491
66,60-64,Varón,2005,15295
66,60-64,Mujer,2005,15975
66,65-69,Varón,2005,12423
66,65-69,Mujer,2005,13323
66,70-74,Varón,2005,9361
66,70-74,Mujer,2005,10613
66,75-79,Varón,2005,6517
66,75-79,Mujer,2005,7857
66,80 y más,Varón,2005,4826
66,80 y más,Mujer,2005,7296
70,20-24,Varón,2005,28611
70,20-24,Mujer,2005,27986
70,25-29,Varón,2005,28016
70,25-29,Mujer,2005,27295
70,30-34,Varón,2005,23659
70,30-34,Mujer,2005,23756
70,35-39,Varón,2005,19431
70,35-39,Mujer,2005,20091
70,40-44,Varón,2005,17774
70,40-44,Mujer,2005,18492
70,45-49,Varón,2005,16187
70,45-49,Mujer,2005,18243
70,50-54,Varón,2005,15683
70,50-54,Mujer,2005,17260
70,55-59,Varón,2005,13806
70,55-59,Mujer,2005,15241
70,60-64,Varón,2005,10958
70,60-64,Mujer,2005,12356
70,65-69,Varón,2005,8285
70,65-69,Mujer,2005,10201
70,70-74,Varón,2005,6560
70,70-74,Mujer,2005,8342
70,75-79,Varón,2005,4791
70,75-79,Mujer,2005,6607
70,80 y más,Varón,2005,3745
70,80 y más,Mujer,2005,6060
74,20-24,Varón,2005,16871
74,20-24,Mujer,2005,16243
74,25-29,Varón,2005,17269
74,25-29,Mujer,2005,16916
74,30-34,Varón,2005,14518
74,30-34,Mujer,2005,14006
74,35-39,Varón,2005,13288
74,35-39,Mujer,2005,12529
74,40-44,Varón,2005,12183
74,40-44,Mujer,2005,11852
74,45-49,Varón,2005,10735
74,45-49,Mujer,2005,10877
74,50-54,Varón,2005,9976
74,50-54,Mujer,2005,9928
74,55-59,Varón,2005,8548
74,55-59,Mujer,2005,8438
74,60-64,Varón,2005,6866
74,60-64,Mujer,2005,7226
74,65-69,Varón,2005,5341
74,65-69,Mujer,2005,5825
74,70-74,Varón,2005,4067
74,70-74,Mujer,2005,4813
74,75-79,Varón,2005,2642
74,75-79,Mujer,2005,3698
74,80 y más,Varón,2005,2166
74,80 y más,Mujer,2005,3632
78,20-24,Varón,2005,8665
78,20-24,Mujer,2005,8078
78,25-29,Varón,2005,8742
78,25-29,Mujer,2005,8045
78,30-34,Varón,2005,8663
78,30-34,Mujer,2005,8464
78,35-39,Varón,2005,7861
78,35-39,Mujer,2005,7741
78,40-44,Varón,2005,7545
78,40-44,Mujer,2005,7093
78,45-49,Varón,2005,6601
78,45-49,Mujer,2005,6000
78,50-54,Varón,2005,5400
78,50-54,Mujer,2005,4984
78,55-59,Varón,2005,4028
78,55-59,Mujer,2005,3660
78,60-64,Varón,2005,3034
78,60-64,Mujer,2005,2895
78,65-69,Varón,2005,2446
78,65-69,Mujer,2005,2381
78,70-74,Varón,2005,1638
78,70-74,Mujer,2005,1790
78,75-79,Varón,2005,1018
78,75-79,Mujer,2005,1145
78,80 y más,Varón,2005,647
78,80 y más,Mujer,2005,1024
82,20-24,Varón,2005,138690
82,20-24,Mujer,2005,134362
82,25-29,Varón,2005,137286
82,25-29,Mujer,2005,134454
82,30-34,Varón,2005,107475
82,30-34,Mujer,2005,106059
82,35-39,Varón,2005,94877
82,35-39,Mujer,2005,94655
82,40-44,Varón,2005,93080
82,40-44,Mujer,2005,94144
82,45-49,Varón,2005,86011
82,45-49,Mujer,2005,91356
82,50-54,Varón,2005,81701
82,50-54,Mujer,2005,86119
82,55-59,Varón,2005,70867
82,55-59,Mujer,2005,77386
82,60-64,Varón,2005,60447
82,60-64,Mujer,2005,68514
82,65-69,Varón,2005,50819
82,65-69,Mujer,2005,62667
82,70-74,Varón,2005,40829
82,70-74,Mujer,2005,57298
82,75-79,Varón,2005,29421
82,75-79,Mujer,2005,48358
82,80 y más,Varón,2005,24902
82,80 y más,Mujer,2005,55189
86,20-24,Varón,2005,39468
86,20-24,Mujer,2005,36962
86,25-29,Varón,2005,35549
86,25-29,Mujer,2005,34323
86,30-34,Varón,2005,27964
86,30-34,Mujer,2005,27323
86,35-39,Varón,2005,23982
86,35-39,Mujer,2005,22817
86,40-44,Varón,2005,21786
86,40-44,Mujer,2005,21163
86,45-49,Varón,2005,20100
86,45-49,Mujer,2005,20020
86,50-54,Varón,2005,18853
86,50-54,Mujer,2005,17686
86,55-59,Varón,2005,15634
86,55-59,Mujer,2005,14756
86,60-64,Varón,2005,11975
86,60-64,Mujer,2005,12233
86,65-69,Varón,2005,9954
86,65-69,Mujer,2005,10958
86,70-74,Varón,2005,7403
86,70-74,Mujer,2005,8744
86,75-79,Varón,2005,5163
86,75-79,Mujer,2005,6696
86,80 y más,Varón,2005,4137
86,80 y más,Mujer,2005,6247
90,20-24,Varón,2005,64237
90,20-24,Mujer,2005,63516
90,25-29,Varón,2005,67047
90,25-29,Mujer,2005,66624
90,30-34,Varón,2005,47646
90,30-34,Mujer,2005,47459
90,35-39,Varón,2005,40040
90,35-39,Mujer,2005,40341
90,40-44,Varón,2005,37797
90,40-44,Mujer,2005,39019
90,45-49,Varón,2005,36184
90,45-49,Mujer,2005,38975
90,50-54,Varón,2005,35232
90,50-54,Mujer,2005,36481
90,55-59,Varón,2005,28085
90,55-59,Mujer,2005,28992
90,60-64,Varón,2005,20307
90,60-64,Mujer,2005,22116
90,65-69,Varón,2005,16412
90,65-69,Mujer,2005,19496
90,70-74,Varón,2005,12950
90,70-74,Mujer,2005,17129
90,75-79,Varón,2005,9331
90,75-79,Mujer,2005,13296
90,80 y más,Varón,2005,6817
90,80 y más,Mujer,2005,12082
94,20-24,Varón,2005,4451
94,20-24,Mujer,2005,4068
94,25-29,Varón,2005,4374
94,25-29,Mujer,2005,4282
94,30-34,Varón,2005,4539
94,30-34,Mujer,2005,4687
94,35-39,Varón,2005,4553
94,35-39,Mujer,2005,4488
94,40-44,Varón,2005,5088
94,40-44,Mujer,2005,4605
94,45-49,Varón,2005,4302
94,45-49,Mujer,2005,3683
94,50-54,Varón,2005,2875
94,50-54,Mujer,2005,2584
94,55-59,Varón,2005,1968
94,55-59,Mujer,2005,1654
94,60-64,Varón,2005,1188
94,60-64,Mujer,2005,1142
94,65-69,Varón,2005,791
94,65-69,Mujer,2005,860
94,70-74,Varón,2005,510
94,70-74,Mujer,2005,585
94,75-79,Varón,2005,295
94,75-79,Mujer,2005,401
94,80 y más,Varón,2005,194
94,80 y más,Mujer,2005,286
